color,keyword,camera,Nation1,Num1,Nation2,Num2,Nation3,Num3,Nation4,Num4,Nation5,Num5,nation1ratio,nation2ratio,nation3ratio,nation4ratio,nation5ratio,sum
darkslategray,nature,canon,United States,64,Italy,32,Canada,14,Switzerland,8,Austria,8,0.12614356600322035,0.3514630898571034,0.15025448304964067,0.1534961249580003,0.21864273613203528,0.21272889614265084
darkslategray,nature,nikon,United States,48,Italy,12,Australia,10,Iceland,8,Canada,7,0.1630503345908097,0.22714664018637917,0.23758250733081696,0.24274347565485715,0.129477042237137,0.1234329645138698
darkslategray,nature,sony,United States,33,Iceland,15,Canada,12,Germany,10,Italy,10,0.09402130253964111,0.38175145821764395,0.18616920428148115,0.17929224159034465,0.15876579337088928,0.1471632237980076
darkslategray,flower,canon,United States,15,Germany,7,Taiwan,5,United Kingdom,4,Russia,3,0.021922415179550823,0.06437901871989463,0.7921963667155865,0.03288362276932623,0.08861857661564189,0.2868893835186226
darkslategray,flower,nikon,United States,11,Netherlands,4,Romania,3,Iran,2,France,2,0.030827177621632403,0.3145361224709873,0.3517838211846568,0.2570727924041723,0.045780086318551225,0.14961341533595227
darkslategray,flower,sony,United States,7,Austria,2,Italy,2,New Zealand,1,China,1,0.0673955861952843,0.2670074303583938,0.10730205145243861,0.2050235625966238,0.3532713693972595,0.043549001468372976
darkslategray,mountain,canon,Italy,29,United States,17,Switzerland,10,Austria,9,Canada,8,0.3637147073597044,0.038261956347129464,0.21909907776207388,0.28087992236358894,0.09804433616750338,0.18629164005398458
darkslategray,mountain,nikon,United States,15,Italy,11,New Zealand,6,France,5,Norway,2,0.048621794614281455,0.1986904644401361,0.4141535005537902,0.13237783122723887,0.20615640916455336,0.129351625664868
darkslategray,mountain,sony,United States,13,Iceland,4,Germany,4,Switzerland,4,Italy,4,0.09620341640662623,0.26441388433281887,0.18627574437166922,0.28815717190556184,0.1649497829833239,0.05665842187539104
darkslategray,sea,canon,United States,21,New Zealand,12,Australia,4,South Africa,4,United Kingdom,3,0.04626699652988296,0.5629938098151575,0.06163764095728019,0.291922716200452,0.037178836497227384,0.19030912112165915
darkslategray,sea,nikon,United States,13,Australia,6,Iceland,4,United Kingdom,3,New Zealand,3,0.07582205320814635,0.24475830846121685,0.20839596300942556,0.09842285752980535,0.37260081779140597,0.0718885010625763
darkslategray,sea,sony,United States,11,Australia,6,New Zealand,5,Canada,5,Norway,2,0.043953576045362625,0.16768213095418266,0.4254435019001212,0.10878920596532778,0.2541315851350057,0.10493251617070809
darkslategray,sky,canon,United States,29,France,4,Germany,3,Canada,3,Switzerland,3,0.22999525297178622,0.2591113265648135,0.1497239591495888,0.12955566328240675,0.2316137980314047,0.05286773958744624
darkslategray,sky,nikon,United States,31,Brazil,4,Italy,4,Australia,3,Russia,3,0.14413524067250336,0.37274334399991377,0.10363658396259284,0.09755819194132642,0.28192663942366364,0.09017852610711953
darkslategray,sky,sony,United States,5,Iceland,4,Spain,3,Canada,2,Austria,2,0.03660501484251061,0.2615819038183904,0.41905420991706144,0.07972873095834503,0.20303014046369255,0.05727182648934619
darkslategray,forest,canon,United States,31,Italy,12,Austria,6,Canada,5,Germany,5,0.1292974506923873,0.27890360557854416,0.3470079743826073,0.11355664306280147,0.13123432628365975,0.10052714492310237
darkslategray,forest,nikon,United States,17,United Kingdom,3,Canada,2,Germany,2,Spain,2,0.1779896660987332,0.1766809185538896,0.11402238883843102,0.13177257601908388,0.39953445048986236,0.040046609198237285
darkslategray,forest,sony,United States,10,Germany,5,Switzerland,3,Italy,3,Iceland,2,0.0950110461296917,0.29894636546083736,0.2774710347175282,0.15883271847148225,0.16973883522046046,0.044130364712299634
dimgray,nature,canon,United States,51,Italy,23,Canada,12,Switzerland,9,Austria,7,0.11882999927071414,0.29862651685885216,0.1522479442711003,0.20413652935941412,0.22615901023991938,0.17995159412587974
dimgray,nature,nikon,United States,32,Italy,8,Australia,8,United Kingdom,6,Iceland,5,0.1516979937250307,0.21133160924894756,0.2652490579429606,0.15999397775686833,0.2117273613261928,0.08844672527443886
dimgray,nature,sony,United States,22,Iceland,10,Germany,9,Canada,9,France,5,0.0853349495834511,0.34648255831891533,0.21968274080220407,0.19009077343387065,0.1584089778615589,0.1080954369025582
dimgray,flower,canon,United States,15,Germany,6,United Kingdom,3,India,3,Taiwan,3,0.0305960396952975,0.07701483342826865,0.03442054465720969,0.1945908124620921,0.663377769757132,0.205559550802494
dimgray,flower,nikon,United States,11,United Kingdom,3,Netherlands,3,France,2,Canada,2,0.07897901785359145,0.12116099329812323,0.60437954304005,0.1172882674849412,0.07819217832329414,0.05839727378846774
dimgray,flower,sony,United States,5,New Zealand,2,Romania,1,Japan,1,Canada,1,0.03832192538421217,0.32642068586195006,0.3206940071626176,0.2728292299741672,0.04173415161705297,0.05470591672212528
dimgray,mountain,canon,Italy,24,United States,15,Austria,8,Switzerland,7,Canada,6,0.37099794218337256,0.04161088030777869,0.3077269752993866,0.18903228482676604,0.09063191738269603,0.15114576114663245
dimgray,mountain,nikon,United States,9,Italy,8,New Zealand,4,Switzerland,3,Canada,2,0.050320794147842275,0.24925253176034023,0.4762503731849358,0.16328584223483514,0.060890458672046587,0.07499056740983859
dimgray,mountain,sony,United States,8,Iceland,4,Germany,4,Switzerland,3,Italy,2,0.07322602015509991,0.32704879788373276,0.23040113201835524,0.2673123337804795,0.10201171616233252,0.045807455967367926
dimgray,sea,canon,United States,10,Australia,5,New Zealand,3,United Kingdom,2,France,2,0.0732921717430252,0.25630766804562327,0.46821918644762966,0.08245369321090333,0.11972728055281855,0.057207639201923795
dimgray,sea,nikon,United States,11,United Kingdom,3,Iceland,3,Australia,2,Romania,1,0.09954469355159411,0.15271060942574094,0.24250673556746877,0.12658709363932388,0.37865086781587226,0.04633254837185244
dimgray,sea,sony,United States,6,Australia,4,Canada,2,New Zealand,2,Norway,1,0.05031183431603921,0.2345918374266931,0.09131942529966021,0.35712418108259975,0.2666527218750078,0.050002614785170915
dimgray,sky,canon,United States,15,United Kingdom,2,Switzerland,2,Australia,2,Germany,1,0.22727089003114223,0.17045316752335665,0.2949883388975642,0.2119417684161385,0.09534583513179845,0.02767317968103537
dimgray,sky,nikon,United States,19,Italy,4,Canada,2,United Kingdom,2,Mexico,2,0.16318799871238843,0.19144288092919154,0.09353601944942236,0.09662447292180895,0.45520862798718886,0.04881766481554395
dimgray,sky,sony,Spain,3,Canada,2,United States,2,United Kingdom,2,France,1,0.6392086914220853,0.12161504783525214,0.022334335828863915,0.12563063903735952,0.0912112858764391,0.03754642313546423
dimgray,forest,canon,United States,25,Italy,11,Austria,5,Australia,4,Switzerland,4,0.11233761851216839,0.2754371422118446,0.31154095366455997,0.1257127132675761,0.17497157234385086,0.09330961820563805
dimgray,forest,nikon,United States,16,Canada,3,Germany,2,Austria,2,United Kingdom,2,0.19069429354026513,0.19469430226606693,0.1500019426429856,0.3305275364051834,0.1340819251454989,0.035179843420034745
dimgray,forest,sony,United States,7,Germany,3,Iceland,2,Switzerland,2,United Kingdom,2,0.09400618667203925,0.253529689271934,0.23991948123361542,0.2614632713852054,0.15108137143720593,0.031221460906819966
darkolivegreen,nature,canon,United States,39,Italy,17,Canada,6,Austria,6,Australia,4,0.14050167838591185,0.3412796878838243,0.11770161677218115,0.29972853573381014,0.10078848122427243,0.11638438377189718
darkolivegreen,nature,nikon,United States,28,Australia,8,Italy,7,United Kingdom,4,Switzerland,3,0.16030763478725094,0.32034663507967615,0.22332576458387465,0.12881863509689806,0.16720133045230035,0.07323445289615642
darkolivegreen,nature,sony,United States,18,Iceland,8,Germany,5,Canada,3,France,3,0.11127314734272935,0.44175856248424383,0.19450781032864958,0.10098419193775093,0.1514762879066264,0.06782561643623619
darkolivegreen,flower,canon,United States,11,Taiwan,3,Germany,3,Romania,2,Costa Rica,2,0.017023083200715484,0.5033064475252863,0.029215677692760685,0.1295057525796058,0.32094903900163185,0.27093560401247474
darkolivegreen,flower,nikon,United States,13,United Kingdom,2,Belgium,2,Netherlands,2,Australia,2,0.04435256762999997,0.03838202967980767,0.6780825243432688,0.19145859510868765,0.04772428323823593,0.12289556262203141
darkolivegreen,flower,sony,United States,7,Russia,2,France,1,Austria,1,Chile,1,0.049389495258389544,0.28521536608053044,0.05762913218750443,0.09783550348111218,0.5099305029924635,0.059425804350202144
darkolivegreen,mountain,canon,Italy,13,United States,13,Canada,2,France,1,Austria,1,0.6120130402292823,0.10982875522772864,0.09200617534883485,0.06900463151162613,0.11714739768252809,0.04962938659660225
darkolivegreen,mountain,nikon,Italy,3,United States,3,Switzerland,1,New Zealand,1,Romania,1,0.18055425762431576,0.03240135105375561,0.10513907790912537,0.22999173292621172,0.45191358048659147,0.03882127116036811
darkolivegreen,mountain,sony,United States,4,Iceland,2,Chile,1,Switzerland,1,Italy,1,0.03654803128328782,0.16323418466412257,0.6603564743230413,0.08894597409249129,0.05091533563705692,0.04588889710530239
darkolivegreen,sea,canon,New Zealand,3,United States,3,United Kingdom,2,Maldives,1,Canada,1,0.5123016751171845,0.024057772584119355,0.09021664719044759,0.32975740007542914,0.04366650503281938,0.05228504138618576
darkolivegreen,sea,nikon,United States,4,United Kingdom,2,Maldives,2,Iceland,2,Romania,1,0.02544551063760718,0.0715654986682702,0.5231684730232166,0.11364708402751522,0.2661734336433909,0.06591138495296794
darkolivegreen,sea,sony,United States,3,Canada,2,Indonesia,1,Turkey,1,Spain,1,0.02190924301426688,0.07953355340795512,0.13714841099482025,0.6220660070122204,0.13934278557073737,0.057412373143199434
